Distance	k	Performance
ChebychevDistance	30.0	0.8921161825726142
ChebychevDistance	31.0	0.8893280632411067
ChebychevDistance	32.0	0.8346774193548387
ChebychevDistance	33.0	0.8620689655172413
ChebychevDistance	34.0	0.8600823045267489
ChebychevDistance	35.0	0.8760330578512396
ChebychevDistance	36.0	0.9061224489795918
ChebychevDistance	37.0	0.8166666666666667
ChebychevDistance	38.0	0.891566265060241
ChebychevDistance	39.0	0.8739837398373984
ChebychevDistance	40.0	0.8615384615384616
ChebychevDistance	41.0	0.8983739837398373
ChebychevDistance	42.0	0.8313253012048193
ChebychevDistance	43.0	0.8333333333333334
ChebychevDistance	44.0	0.8806584362139918
ChebychevDistance	45.0	0.8625
ChebychevDistance	46.0	0.8672199170124482
ChebychevDistance	47.0	0.9166666666666666
ChebychevDistance	48.0	0.8755020080321285
ChebychevDistance	49.0	0.84
ChebychevDistance	50.0	0.8634538152610441
CorrelationSimilarity	1.0	0.890625
CorrelationSimilarity	2.0	0.8636363636363636
CorrelationSimilarity	3.0	0.875
CorrelationSimilarity	4.0	0.8663967611336032
CorrelationSimilarity	5.0	0.8730769230769231
CorrelationSimilarity	6.0	0.8744939271255061
CorrelationSimilarity	7.0	0.89453125
CorrelationSimilarity	8.0	0.8729508196721312
CorrelationSimilarity	9.0	0.9032258064516129
CorrelationSimilarity	10.0	0.9049586776859504
CorrelationSimilarity	11.0	0.9109311740890689
CorrelationSimilarity	12.0	0.8595744680851064
CorrelationSimilarity	13.0	0.8888888888888888
CorrelationSimilarity	14.0	0.9142857142857143
CorrelationSimilarity	15.0	0.921161825726141
CorrelationSimilarity	16.0	0.8571428571428571
CorrelationSimilarity	17.0	0.9076305220883534
CorrelationSimilarity	18.0	0.9109311740890689
CorrelationSimilarity	19.0	0.907563025210084
CorrelationSimilarity	20.0	0.8930041152263375
CorrelationSimilarity	21.0	0.9
CorrelationSimilarity	22.0	0.9183673469387755
CorrelationSimilarity	23.0	0.9102040816326531
CorrelationSimilarity	24.0	0.8866396761133604
CorrelationSimilarity	25.0	0.9102564102564102
CorrelationSimilarity	26.0	0.9031007751937985
CorrelationSimilarity	27.0	0.9274193548387096
CorrelationSimilarity	28.0	0.9032258064516129
CorrelationSimilarity	29.0	0.92
CorrelationSimilarity	30.0	0.94
CorrelationSimilarity	31.0	0.8978723404255319
CorrelationSimilarity	32.0	0.8928571428571429
CorrelationSimilarity	33.0	0.9079497907949791
CorrelationSimilarity	34.0	0.9094488188976378
CorrelationSimilarity	35.0	0.9230769230769231
CorrelationSimilarity	36.0	0.908
CorrelationSimilarity	37.0	0.9201680672268907
CorrelationSimilarity	38.0	0.8937007874015748
CorrelationSimilarity	39.0	0.9110169491525424
CorrelationSimilarity	40.0	0.9123505976095617
CorrelationSimilarity	41.0	0.9254901960784314
CorrelationSimilarity	42.0	0.9049586776859504
CorrelationSimilarity	43.0	0.9121338912133892
CorrelationSimilarity	44.0	0.9349593495934959
CorrelationSimilarity	45.0	0.9061224489795918
CorrelationSimilarity	46.0	0.923728813559322
CorrelationSimilarity	47.0	0.9011406844106464
CorrelationSimilarity	48.0	0.8957528957528957
CorrelationSimilarity	49.0	0.9068825910931174
CorrelationSimilarity	50.0	0.9458333333333333
CosineSimilarity	1.0	0.8483606557377049
CosineSimilarity	2.0	0.8695652173913043
CosineSimilarity	3.0	0.859375
CosineSimilarity	4.0	0.848605577689243
CosineSimilarity	5.0	0.8455284552845529
CosineSimilarity	6.0	0.8600823045267489
CosineSimilarity	7.0	0.859375
CosineSimilarity	8.0	0.8577235772357723
CosineSimilarity	9.0	0.9053497942386831
