Distance	k	Performance
ChebychevDistance	31.0	0.6055045871559633
ChebychevDistance	32.0	0.5700934579439252
ChebychevDistance	33.0	0.5959595959595959
ChebychevDistance	34.0	0.5048543689320388
ChebychevDistance	35.0	0.5887850467289719
ChebychevDistance	36.0	0.5154639175257731
ChebychevDistance	37.0	0.5636363636363636
ChebychevDistance	38.0	0.5714285714285714
ChebychevDistance	39.0	0.44339622641509435
ChebychevDistance	40.0	0.5871559633027523
ChebychevDistance	41.0	0.594059405940594
ChebychevDistance	42.0	0.6428571428571429
ChebychevDistance	43.0	0.64
ChebychevDistance	44.0	0.5392156862745098
ChebychevDistance	45.0	0.5865384615384616
ChebychevDistance	46.0	0.6530612244897959
ChebychevDistance	47.0	0.6571428571428571
ChebychevDistance	48.0	0.6060606060606061
ChebychevDistance	49.0	0.5865384615384616
ChebychevDistance	50.0	0.5909090909090909
CorrelationSimilarity	1.0	0.7941176470588235
CorrelationSimilarity	2.0	0.8571428571428571
CorrelationSimilarity	3.0	0.7766990291262136
CorrelationSimilarity	4.0	0.8058252427184466
CorrelationSimilarity	5.0	0.7941176470588235
CorrelationSimilarity	6.0	0.7128712871287128
CorrelationSimilarity	7.0	0.6831683168316832
CorrelationSimilarity	8.0	0.7333333333333333
CorrelationSimilarity	9.0	0.7211538461538461
CorrelationSimilarity	10.0	0.6346153846153846
CorrelationSimilarity	11.0	0.6923076923076923
CorrelationSimilarity	12.0	0.5533980582524272
CorrelationSimilarity	13.0	0.6542056074766355
CorrelationSimilarity	14.0	0.7029702970297029
CorrelationSimilarity	15.0	0.6952380952380952
CorrelationSimilarity	16.0	0.7029702970297029
CorrelationSimilarity	17.0	0.6448598130841121
CorrelationSimilarity	18.0	0.6938775510204082
CorrelationSimilarity	19.0	0.7523809523809524
CorrelationSimilarity	20.0	0.6138613861386139
CorrelationSimilarity	21.0	0.6981132075471698
CorrelationSimilarity	22.0	0.673469387755102
CorrelationSimilarity	23.0	0.6346153846153846
CorrelationSimilarity	24.0	0.64
CorrelationSimilarity	25.0	0.6947368421052632
CorrelationSimilarity	26.0	0.6938775510204082
CorrelationSimilarity	27.0	0.6116504854368932
CorrelationSimilarity	28.0	0.638095238095238
CorrelationSimilarity	29.0	0.6565656565656566
CorrelationSimilarity	30.0	0.6224489795918368
CorrelationSimilarity	31.0	0.7087378640776699
CorrelationSimilarity	32.0	0.6862745098039216
CorrelationSimilarity	33.0	0.7128712871287128
CorrelationSimilarity	34.0	0.6630434782608695
CorrelationSimilarity	35.0	0.6407766990291263
CorrelationSimilarity	36.0	0.6915887850467289
CorrelationSimilarity	37.0	0.7128712871287128
CorrelationSimilarity	38.0	0.6727272727272727
CorrelationSimilarity	39.0	0.6736842105263158
CorrelationSimilarity	40.0	0.6826923076923077
CorrelationSimilarity	41.0	0.6542056074766355
CorrelationSimilarity	42.0	0.6310679611650486
CorrelationSimilarity	43.0	0.6699029126213593
CorrelationSimilarity	44.0	0.6391752577319587
CorrelationSimilarity	45.0	0.6814159292035398
CorrelationSimilarity	46.0	0.6
CorrelationSimilarity	47.0	0.6039603960396039
CorrelationSimilarity	48.0	0.6122448979591837
CorrelationSimilarity	49.0	0.6632653061224489
CorrelationSimilarity	50.0	0.6494845360824743
CosineSimilarity	1.0	0.8301886792452831
CosineSimilarity	2.0	0.7641509433962265
CosineSimilarity	3.0	0.8585858585858586
CosineSimilarity	4.0	0.7428571428571429
CosineSimilarity	5.0	0.8155339805825242
CosineSimilarity	6.0	0.8210526315789474
CosineSimilarity	7.0	0.7904761904761904
CosineSimilarity	8.0	0.8105263157894737
CosineSimilarity	9.0	0.76
CosineSimilarity	10.0	0.7244897959183674
CosineSimilarity	11.0	0.8173076923076923
CosineSimilarity	12.0	0.7938144329896907
CosineSimilarity	13.0	0.8037383177570093
CosineSimilarity	14.0	0.7722772277227723
CosineSimilarity	15.0	0.7735849056603774
CosineSimilarity	16.0	0.63
CosineSimilarity	17.0	0.7659574468085106
CosineSimilarity	18.0	0.6699029126213593
CosineSimilarity	19.0	0.7008547008547008
CosineSimilarity	20.0	0.6666666666666666
CosineSimilarity	21.0	0.6074766355140186
CosineSimilarity	22.0	0.7238095238095238
CosineSimilarity	23.0	0.6842105263157895
CosineSimilarity	24.0	0.7425742574257426
CosineSimilarity	25.0	0.7075471698113207
CosineSimilarity	26.0	0.6732673267326733
CosineSimilarity	27.0	0.7142857142857143
CosineSimilarity	28.0	0.7448979591836735
CosineSimilarity	29.0	0.7129629629629629
CosineSimilarity	30.0	0.7184466019417476
CosineSimilarity	31.0	0.7090909090909091
CosineSimilarity	32.0	0.7378640776699029
CosineSimilarity	33.0	0.6634615384615384
CosineSimilarity	34.0	0.6842105263157895
CosineSimilarity	35.0	0.6391752577319587
CosineSimilarity	36.0	0.5773195876288659
CosineSimilarity	37.0	0.66
CosineSimilarity	38.0	0.7641509433962265
CosineSimilarity	39.0	0.6938775510204082
CosineSimilarity	40.0	0.7373737373737373
CosineSimilarity	41.0	0.6761904761904762
CosineSimilarity	42.0	0.6831683168316832
CosineSimilarity	43.0	0.6792452830188679
CosineSimilarity	44.0	0.6981132075471698
CosineSimilarity	45.0	0.7029702970297029
CosineSimilarity	46.0	0.67
CosineSimilarity	47.0	0.6571428571428571
CosineSimilarity	48.0	0.7169811320754716
CosineSimilarity	49.0	0.7087378640776699
CosineSimilarity	50.0	0.6764705882352942
