Distance	k	Performance
ChebychevDistance	30.0	0.8904109589041096
ChebychevDistance	31.0	0.8611111111111112
ChebychevDistance	32.0	0.84
ChebychevDistance	33.0	0.8611111111111112
ChebychevDistance	34.0	0.7941176470588235
ChebychevDistance	35.0	0.9342105263157895
ChebychevDistance	36.0	0.8823529411764706
ChebychevDistance	37.0	0.8513513513513513
ChebychevDistance	38.0	0.8235294117647058
ChebychevDistance	39.0	0.8493150684931506
ChebychevDistance	40.0	0.8571428571428571
ChebychevDistance	41.0	0.8
ChebychevDistance	42.0	0.855072463768116
ChebychevDistance	43.0	0.7307692307692307
ChebychevDistance	44.0	0.8311688311688312
ChebychevDistance	45.0	0.8378378378378378
ChebychevDistance	46.0	0.8142857142857143
ChebychevDistance	47.0	0.8309859154929577
ChebychevDistance	48.0	0.8805970149253731
ChebychevDistance	49.0	0.7866666666666666
ChebychevDistance	50.0	0.7808219178082192
CorrelationSimilarity	1.0	0.7837837837837838
CorrelationSimilarity	2.0	0.7808219178082192
CorrelationSimilarity	3.0	0.7272727272727273
CorrelationSimilarity	4.0	0.7534246575342466
CorrelationSimilarity	5.0	0.6621621621621622
CorrelationSimilarity	6.0	0.7567567567567568
CorrelationSimilarity	7.0	0.6891891891891891
CorrelationSimilarity	8.0	0.7631578947368421
CorrelationSimilarity	9.0	0.7058823529411765
CorrelationSimilarity	10.0	0.7012987012987013
CorrelationSimilarity	11.0	0.7464788732394366
CorrelationSimilarity	12.0	0.7466666666666667
CorrelationSimilarity	13.0	0.7341772151898734
CorrelationSimilarity	14.0	0.7317073170731707
CorrelationSimilarity	15.0	0.7313432835820896
CorrelationSimilarity	16.0	0.7428571428571429
CorrelationSimilarity	17.0	0.7272727272727273
CorrelationSimilarity	18.0	0.6578947368421053
CorrelationSimilarity	19.0	0.6125
CorrelationSimilarity	20.0	0.7027027027027027
CorrelationSimilarity	21.0	0.6756756756756757
CorrelationSimilarity	22.0	0.6883116883116883
CorrelationSimilarity	23.0	0.7466666666666667
CorrelationSimilarity	24.0	0.7397260273972602
CorrelationSimilarity	25.0	0.6301369863013698
CorrelationSimilarity	26.0	0.6911764705882353
CorrelationSimilarity	27.0	0.6216216216216216
CorrelationSimilarity	28.0	0.7297297297297297
CorrelationSimilarity	29.0	0.5507246376811594
CorrelationSimilarity	30.0	0.7222222222222222
CorrelationSimilarity	31.0	0.65
CorrelationSimilarity	32.0	0.6142857142857143
CorrelationSimilarity	33.0	0.6973684210526315
CorrelationSimilarity	34.0	0.6973684210526315
CorrelationSimilarity	35.0	0.647887323943662
CorrelationSimilarity	36.0	0.8285714285714286
CorrelationSimilarity	37.0	0.6666666666666666
CorrelationSimilarity	38.0	0.68
