Generace Cas Fitness
1 2612.0 -5913.0
2 3966.0 -5909.0
3 5398.0 -5906.0
5 8465.0 -5903.0
6 9839.0 -5900.0
8 12908.0 -5898.0
9 14489.0 -5896.0
12 18332.0 -5894.0
16 23386.0 -5893.0
17 25093.0 -5892.0
18 26743.0 -5891.0
20 29902.0 -5890.0
21 31403.0 -5889.0
23 34413.0 -5887.0
25 37849.0 -5886.0
28 43285.0 -5885.0
29 45152.0 -5884.0
30 47028.0 -5883.0
32 50611.0 -5882.0
33 52309.0 -5881.0
35 55813.0 -5880.0
36 57414.0 -5879.0
38 60772.0 -5878.0
41 66043.0 -5877.0
42 67790.0 -5876.0
43 69571.0 -5875.0
46 74971.0 -5873.0
50 81953.0 -5872.0
53 85921.0 -5871.0
56 90405.0 -5869.0
58 92654.0 -5868.0
60 94996.0 -5867.0
61 96082.0 -5866.0
66 101606.0 -5865.0
67 102568.0 -5864.0
69 104691.0 -5863.0
71 107287.0 -5862.0
74 110761.0 -5861.0
84 121678.0 -5860.0
86 123610.0 -5859.0
93 130671.0 -5857.0
95 132951.0 -5856.0
103 141757.0 -5855.0
121 159974.0 -5854.0
123 161952.0 -5853.0
130 172582.0 -5852.0
132 176841.0 -5851.0
135 181998.0 -5850.0
150 201922.0 -5849.0
165 219526.0 -5848.0
169 223638.0 -5847.0
182 236735.0 -5846.0
185 239779.0 -5845.0
195 249735.0 -5844.0
206 306296.0 -5833.0
208 308272.0 -5832.0
211 311144.0 -5831.0
215 315019.0 -5829.0
231 330758.0 -5828.0
236 335710.0 -5827.0
255 354217.0 -5826.0
271 369267.0 -5825.0
284 381702.0 -5824.0
348 444831.0 -5823.0
377 473041.0 -5822.0
504 641818.0 -5820.0
568 780388.0 -5819.0
607 820591.0 -5818.0
617 830561.0 -5817.0
999 1280947.0 -5816.0
1004 1287058.0 -5815.0
1007 1290434.0 -5814.0
1017 1301058.0 -5813.0
1088 1377353.0 -5812.0
1239 1601416.0 -5811.0
1459 1961215.0 -5809.0
1548 2111247.0 -5808.0
1616 2228340.0 -5807.0
1642 2272715.0 -5806.0
1812 2566256.0 -5805.0
3797 5220320.0 -5804.0
5062 6707228.0 -5803.0
7123 9612187.0 -5802.0
7866 1.0609873E7 -5801.0
7956 1.0719847E7 -5800.0
8433 1.1324967E7 -5799.0
8533 1.1483659E7 -5798.0
