Generace Cas Fitness
1 394.0 -1539.0
2 591.0 -1538.0
3 807.0 -1535.0
4 995.0 -1533.0
5 1213.0 -1530.0
6 1411.0 -1529.0
7 1625.0 -1528.0
8 1807.0 -1527.0
9 2010.0 -1526.0
10 2208.0 -1525.0
11 2408.0 -1524.0
12 2621.0 -1523.0
13 2825.0 -1522.0
15 3259.0 -1521.0
17 3651.0 -1520.0
18 3885.0 -1519.0
20 4280.0 -1518.0
23 4896.0 -1517.0
31 6500.0 -1516.0
47 9691.0 -1515.0
55 11302.0 -1514.0
63 12882.0 -1513.0
68 13872.0 -1512.0
92 18567.0 -1511.0
123 24740.0 -1510.0
132 26520.0 -1509.0
151 30348.0 -1508.0
230 47392.0 -1507.0
261 53667.0 -1506.0
274 56351.0 -1505.0
452 100316.0 -1504.0
454 100963.0 -1503.0
