Generace Cas Fitness
1 2263.0 -5944.0
2 3632.0 -5942.0
3 5052.0 -5940.0
4 6506.0 -5936.0
6 9462.0 -5934.0
7 11233.0 -5903.0
8 12581.0 -5902.0
9 14190.0 -5901.0
10 15530.0 -5900.0
11 16931.0 -5898.0
13 19434.0 -5896.0
14 20718.0 -5893.0
15 21894.0 -5892.0
16 23158.0 -5891.0
18 26313.0 -5890.0
19 27918.0 -5888.0
20 29436.0 -5886.0
22 32485.0 -5885.0
24 35776.0 -5883.0
25 37540.0 -5882.0
27 41532.0 -5881.0
28 43307.0 -5880.0
29 45466.0 -5879.0
30 47206.0 -5878.0
33 52433.0 -5877.0
35 55931.0 -5876.0
36 57528.0 -5875.0
39 62565.0 -5874.0
41 65773.0 -5873.0
43 69340.0 -5872.0
45 72941.0 -5871.0
47 76676.0 -5870.0
49 80021.0 -5869.0
51 82815.0 -5868.0
53 85487.0 -5867.0
54 86516.0 -5866.0
57 91179.0 -5865.0
64 99239.0 -5864.0
67 102454.0 -5863.0
68 103540.0 -5862.0
69 104581.0 -5861.0
72 108245.0 -5860.0
74 110442.0 -5859.0
86 123307.0 -5858.0
88 125354.0 -5857.0
93 130298.0 -5856.0
98 135782.0 -5855.0
112 150073.0 -5854.0
118 156077.0 -5853.0
133 177476.0 -5852.0
144 192360.0 -5851.0
154 205744.0 -5850.0
156 207735.0 -5849.0
158 210222.0 -5848.0
166 219226.0 -5847.0
173 226730.0 -5846.0
177 230756.0 -5845.0
178 231713.0 -5844.0
180 233727.0 -5843.0
182 235655.0 -5842.0
185 238588.0 -5841.0
187 240522.0 -5839.0
198 251314.0 -5838.0
200 253280.0 -5837.0
203 256162.0 -5836.0
219 271982.0 -5835.0
220 273016.0 -5834.0
225 277943.0 -5833.0
254 305654.0 -5832.0
297 347514.0 -5831.0
299 349402.0 -5830.0
322 371174.0 -5828.0
325 374030.0 -5827.0
366 414091.0 -5826.0
371 419086.0 -5825.0
373 421138.0 -5824.0
379 426830.0 -5823.0
397 444578.0 -5822.0
563 612356.0 -5821.0
586 634224.0 -5820.0
718 799994.0 -5819.0
724 805872.0 -5818.0
735 817602.0 -5817.0
798 881399.0 -5816.0
1388 1511118.0 -5814.0
1389 1512279.0 -5813.0
1394 1517348.0 -5812.0
1425 1558906.0 -5811.0
1506 1649655.0 -5810.0
1579 1725961.0 -5809.0
1859 2178974.0 -5808.0
1939 2318430.0 -5807.0
1965 2362676.0 -5806.0
2171 2801364.0 -5805.0
5211 6529398.0 -5804.0
5769 7296377.0 -5803.0
7320 9287885.0 -5802.0
8621 1.0841843E7 -5800.0
9005 1.1295581E7 -5799.0
9187 1.16218E7 -5798.0
