Generace Cas Fitness
1 390.0 -1547.0
2 589.0 -1546.0
3 797.0 -1543.0
4 995.0 -1539.0
5 1209.0 -1537.0
6 1411.0 -1535.0
7 1625.0 -1534.0
8 1818.0 -1532.0
9 2023.0 -1531.0
10 2214.0 -1530.0
11 2432.0 -1529.0
12 2640.0 -1528.0
13 2833.0 -1527.0
14 3032.0 -1526.0
15 3251.0 -1525.0
17 3639.0 -1524.0
19 4058.0 -1523.0
21 4444.0 -1522.0
23 4858.0 -1521.0
24 5056.0 -1520.0
28 5871.0 -1519.0
32 6663.0 -1518.0
33 6867.0 -1517.0
36 7472.0 -1516.0
44 9082.0 -1515.0
52 10718.0 -1514.0
54 11108.0 -1513.0
103 20866.0 -1512.0
155 31374.0 -1511.0
244 50423.0 -1507.0
253 52211.0 -1506.0
342 73260.0 -1505.0
361 78115.0 -1504.0
399 89154.0 -1503.0
